Timestamp,Temp,Humid,SoilHumid,LightIntensity,Treatment
23/12/2024 15:00,34.20333333,56.95166667,59.58333333,24730.24,3
23/12/2024 16:00,28.95666667,71.17,60.83333333,5348.373333,3
23/12/2024 17:00,26.5075,79.76916667,61.91666667,1294.34,3
23/12/2024 18:00,25.24666667,88.78916667,69.16666667,1.720833333,3
23/12/2024 19:00,25.47083333,88.51416667,69.08333333,0.2,3
23/12/2024 20:00,25.3,90.432,70.4,0.16,3
2/1/2025 9:00,45.34714286,49.73142857,51.57142857,52406.85714,3
2/1/2025 10:00,43.02666667,46.73083333,52.25,52804.26667,3
2/1/2025 11:00,45.2025,41.62083333,53.83333333,65742.50667,3
2/1/2025 12:00,43.05333333,42.81,69.33333333,57194.66667,3
2/1/2025 13:00,43.39916667,40.94333333,70.58333333,74984.10667,3
2/1/2025 14:00,42.57333333,41.93,71.75,61292.37333,3
2/1/2025 15:00,39.48833333,48.35166667,80.33333333,38245.97333,3
2/1/2025 16:00,33.5125,62.9025,81.58333333,11039.68,3
2/1/2025 17:00,29.735,75.01,82.75,2817.733333,3
2/1/2025 18:00,27.645,84.775,89.33333333,190.5166667,3
2/1/2025 19:00,26.78666667,92.21416667,90.58333333,0.16,3
2/1/2025 20:00,26.1825,93.75916667,91.75,0.166666667,3
2/1/2025 21:00,26.13666667,94.78666667,96.83333333,0.226666667,3
3/1/2025 13:00,46.545,35.87,65.5,73318.4,3
3/1/2025 14:00,43.9525,42.32,67.08333333,52097.70667,3
3/1/2025 15:00,39.4525,48.44916667,65.58333333,23993.81333,3
3/1/2025 16:00,30.4675,69.81833333,66.91666667,5192.96,3
3/1/2025 17:00,28.24166667,80.42,67.41666667,855.9016667,3
3/1/2025 18:00,27.2075,84.69416667,74.58333333,0.293333333,3
3/1/2025 19:00,26.65416667,87.3225,75.91666667,0.16,3
3/1/2025 20:00,26.28166667,88.84666667,77,0.166666667,3
3/1/2025 21:00,26.03857143,89.79,85.28571429,0.16,3
4/1/2025 13:00,46.045,38.37,62.5,73118.4,3
4/1/2025 14:00,43.4525,44.82,64.08333333,51897.70667,3
4/1/2025 15:00,38.9525,50.94916667,62.58333333,23793.81333,3
4/1/2025 16:00,29.9675,72.31833333,63.91666667,4992.96,3
4/1/2025 17:00,27.74166667,82.92,64.41666667,789.235,3
4/1/2025 18:00,26.7075,87.19416667,71.58333333,0.293333333,3
4/1/2025 19:00,26.15416667,89.8225,72.91666667,0.16,3
4/1/2025 20:00,25.78166667,91.34666667,74,0.166666667,3
4/1/2025 21:00,25.53857143,92.29,82.28571429,0.16,3
9/1/2025 11:00,39.1175,59.61375,50.625,47155.84,3
9/1/2025 12:00,43.28083333,45.74666667,61.5,31236.26667,3
9/1/2025 13:00,46.25,38.79833333,59.91666667,30042.45333,3
9/1/2025 14:00,44.1375,42.16416667,61.58333333,44817.06667,3
9/1/2025 15:00,42.79583333,42.94916667,69.5,39377.49333,3
9/1/2025 16:00,34.2825,60.04583333,67.91666667,10482.56,3
9/1/2025 17:00,30.29416667,73.37833333,69.58333333,5001.013333,3
9/1/2025 18:00,28.38666667,80.315,78.5,148.1858333,3
9/1/2025 19:00,27.21416667,83.99,76.91666667,0.24,3
9/1/2025 20:00,26.30416667,88.05,78.08333333,0.24,3
9/1/2025 21:00,25.74307692,91.67153846,86.46153846,0.227692308,3
9/1/2025 22:00,24.94583333,93.24416667,84.75,0.173333333,3
9/1/2025 23:00,24.4575,94.84583333,86.41666667,0.166666667,3
19/1/2025 11:00,32.45375,63.76375,46.625,25197.44,3
19/1/2025 12:00,38.125,50.39666667,45.16666667,48542.72,3
19/1/2025 13:00,40.90416667,52.28416667,45.83333333,66459.30667,3
19/1/2025 14:00,39.54916667,71.07583333,55.08333333,62059.52,3
19/1/2025 15:00,38.18166667,54.35166667,54,58366.29333,3
19/1/2025 16:00,39.09833333,49.3225,55.66666667,51247.78667,3
19/1/2025 17:00,35.21166667,55.45833333,64.08333333,24986.88,3
19/1/2025 18:00,32.0225,62.955,63,11163.52,3
19/1/2025 19:00,30.52833333,68.5075,64.66666667,7908.906667,3
19/1/2025 20:00,29.1375,75.345,74.08333333,3922.08,3
19/1/2025 21:00,27.4375,84.62583333,73,463.3025,3
19/1/2025 22:00,26.68083333,87.87583333,74.66666667,0.48,3
19/1/2025 23:00,26.265,89.33333333,84.08333333,0.373333333,3
20/1/2025 14:00,31.91916667,68.08,58.66666667,9817.093333,3
20/1/2025 15:00,30.22916667,72.7775,61.16666667,6960,3
20/1/2025 16:00,28.93916667,76.7625,63.41666667,3412.906667,3
20/1/2025 17:00,27.16,84.585,69.08333333,1424.373333,3
20/1/2025 18:00,26.31166667,87.505,72.83333333,34.18583333,3
20/1/2025 19:00,26.15333333,89.27,73.5,0.32,3
20/1/2025 20:00,26.27,89.39,74,0.32,3
21/1/2025 12:00,39.02,54.82833333,64.16666667,50292.05333,3
21/1/2025 13:00,38.5025,52.0125,64.16666667,35230.72,3
21/1/2025 14:00,33.1675,63.68833333,65,12665.6,3
21/1/2025 15:00,30.76666667,72.3875,72.25,7141.866667,3
21/1/2025 16:00,27.784,82.40833333,72.16666667,2421.013333,3
21/1/2025 17:00,25.441,87.905,72.5,1917.12,3
22/1/2025 12:00,39.12,50.71333333,55.33333333,38331.73333,3
22/1/2025 13:00,38.12,52.08083333,55.66666667,21739.94667,3
22/1/2025 14:00,31.96333333,66.66583333,55.83333333,13285.12,3
22/1/2025 15:00,30.51166667,70.40916667,64.66666667,10090.02667,3
22/1/2025 16:00,29.325,74.12583333,64.66666667,7915.52,3
22/1/2025 17:00,28.595,77.42,67.08333333,4956.16,3
22/1/2025 18:00,27.42083333,83.20583333,71.66666667,863.7316667,3
22/1/2025 19:00,26.37666667,91.92916667,71.66666667,0.186666667,3
22/1/2025 20:00,25.68166667,94.4575,74.08333333,0.08,3
22/1/2025 21:00,25.37083333,96.04416667,81,0.153333333,3
22/1/2025 22:00,25.1025,96.98,81.75,0.16,3
23/1/2025 12:00,37.08916667,69.85416667,54.16666667,32938.56,3
23/1/2025 13:00,34.95833333,71.96833333,54.16666667,22059.09333,3
23/1/2025 14:00,32.59916667,78.69083333,55,14012.16,3
23/1/2025 15:00,31.19666667,82.07083333,63.16666667,11842.13333,3
23/1/2025 16:00,29.52333333,85.75833333,63.16666667,5464.96,3
23/1/2025 17:00,28.32333333,89.83333333,64,1669.18,3
23/1/2025 18:00,27.46083333,93.15,75.16666667,33.7225,3
23/1/2025 19:00,27.09666667,95.04583333,75.16666667,0.406666667,3
23/1/2025 20:00,26.64416667,96.5375,76,0.346666667,3
23/1/2025 21:00,25.95083333,97.8475,87.25,0.24,3
23/1/2025 22:00,25.775,98.135,88.5,0.24,3
24/1/2025 14:00,33.01,69.975,67,12229.12,3
24/1/2025 15:00,31.715,72.37,76.66666667,8889.813333,3
24/1/2025 16:00,30.63833333,73.01166667,76,5859.84,3
24/1/2025 17:00,28.72416667,79.77083333,76.25,1358.106667,3
24/1/2025 18:00,27.6375,84.58083333,84.66666667,87.81916667,3
24/1/2025 19:00,26.605,88.83,84,0.173333333,3
24/1/2025 20:00,26.15416667,91.685,84.25,0.8,3
24/1/2025 21:00,25.71833333,92.6175,92.66666667,0.8,3
24/1/2025 22:00,25.19333333,94.12333333,92,0.8,3
25/1/2025 12:00,39.48444444,81.53111111,60.55555556,49009.77778,3
25/1/2025 13:00,38.42416667,64.705,62.58333333,45238.61333,3
25/1/2025 14:00,33.10333333,69.6375,64.41666667,11027.2,3
25/1/2025 15:00,31.43583333,72.9075,65.5,8056.106667,3
25/1/2025 16:00,30.52166667,76.67833333,67.5,5098.026667,3
25/1/2025 17:00,29.12416667,81.83083333,70.08333333,2049.88,3
25/1/2025 18:00,28.08583333,86.14166667,72.75,111.7875,3
25/1/2025 19:00,27.53416667,88.46416667,73.58333333,1.08,3
25/1/2025 20:00,27.27583333,89.69166667,74.25,0.24,3
25/1/2025 21:00,27.21,89.45,75,0.24,3
27/1/2025 6:00,23.47,94.92333333,96,901.1733333,3
27/1/2025 7:00,24.37583333,96.3125,91.66666667,4913.76,3
27/1/2025 8:00,29.83833333,86.59666667,85.33333333,21335.04,3
27/1/2025 9:00,31.55333333,81.9775,86.25,19650.34667,3
27/1/2025 10:00,36.56,65.77083333,83.25,41214.29333,3
27/1/2025 11:00,39.13166667,56.53583333,84,54290.77333,3
27/1/2025 12:00,35.17541667,62.27416667,74.75,31951.57333,3
27/1/2025 13:00,34.1625,62.73958333,77.625,27543.68,3
27/1/2025 14:00,32.62708333,65.29958333,78.83333333,16448.64,3
27/1/2025 15:00,31.23708333,67.745,79.70833333,10566.50667,3
27/1/2025 16:00,29.87375,74.71208333,80.75,6699.093333,3
27/1/2025 17:00,28.99428571,79.39285714,89.78571429,2560.182857,3
27/1/2025 18:00,27.6625,85.69916667,94.91666667,198.735,3
27/1/2025 19:00,26.87333333,90.44416667,93.25,0.253333333,3
